JobTitle,Company Size,company_Industry,Country,Remote Type,Exp. Level,Years_Experience,Education  Level,Skills - Python,Skills - SQL,Skills - ML,Skills-DeepLearning,skills_Cloud,Salary (USD),Posting Month,posting_Year,Hiring Urgency,Job Openings,Total_Skills,advanced_skill_score,ai_specialist,data_professional,exp_per_skill,experience_intensity,high_salary_job,salary_per_skill,salary_growth_potential,skill_demand_score,industry_hiring_density,country_demand_score,is_remote,is_hybrid,hiring_quarter,remote_premium_salary,peak_hiring_season,ml_cloud_combination,python_sql_combination,salary_percentile,salary_zscore,industry_salary,country_salary,competition_ratio,experience_squared,industry_salary_rank,skill_intersection_power,hiring_momentum,market_expansion_score,job_title_popularity,industry_frequency,salary_gap,premium_candidate,ai_seniority_score,cloud_ai_engineer_score
Data Analyst,Start-up,Finance,Unknown,Hybrid,Junior,4.0,Bachelor's,1,1,0,0,0,61004.0,10,2024,Low,1,2,3,0,1,2.0,12.0,False,30502.0,12.0,4.319148936170213,7170,4.6797202797202795,0,1,Q4,0.5239435854705444,1,0,1,0.023341645885286783,-1.5754297723336552,116283.64576802508,116538.71678321678,0.3333333333333333,16.0,0.02413793103448276,16.0,4.494055482166447,6725,1626,1595,-42771.099015990156,0,0.0,0
Data Scientist,Large,E-commerce,United Kingdom,Hybrid,Senior,8.0,Bachelor's,1,0,1,1,1,138483.0,1,2023,Low,9,4,12,1,0,2.0,96.0,True,34620.75,96.0,4.692607003891051,7032,4.488077496274218,0,1,Q1,1.1893856066277195,1,1,0,0.7673316708229426,0.6202736403610398,115678.97271857051,115792.73994038749,1.8,64.0,0.7782386726228462,65536.0,4.498521584861029,6137,1661,1567,33385.660596026486,0,8.0,3
Data Analyst,Start-up,Retail,Singapore,Hybrid,Mid-level,8.0,Master's,1,1,1,1,1,119038.0,11,2022,Low,5,5,13,1,1,1.6,104.0,False,23807.6,104.0,4.527536231884058,6709,4.4948224852071,0,1,Q4,1.0223788034758814,0,1,1,0.5923192019950124,0.06921525215457938,117037.78714859438,116940.13387573964,0.8333333333333334,64.0,0.5736278447121821,390625.0,4.502029769959405,6596,1626,1494,15262.900984009844,0,8.0,3
Data Scientist,Large,Education,Canada,Unknown,Junior,7.0,Bachelor's,1,1,0,1,0,66667.0,6,2022,Low,9,3,7,0,1,2.3333333333333335,49.0,False,22222.333333333332,49.0,4.468926553672317,6840,4.452471482889734,0,0,Q2,0.5635304937668021,0,0,1,0.07581047381546134,-1.414944112656968,116356.81743958197,118149.7422053232,2.25,49.0,0.0790333115610712,2187.0,4.5,6596,1661,1531,-38430.339403973514,0,0.0,1
Machine Learning Engineer,Medium,IT,Germany,Hybrid,Mid-level,10.0,Ph.D,0,1,1,0,1,153801.0,6,2025,Low,7,3,7,0,0,3.3333333333333335,70.0,True,51267.0,70.0,4.439807383627608,7466,4.497611464968153,0,1,Q2,1.320946944281608,0,1,0,0.8596508728179552,1.0543755889620456,117607.79422718807,115893.9773089172,1.75,100.0,0.8516449410304159,59049.0,4.5,6397,1682,1611,14220.021551724145,0,0.0,2
Data Analyst,Unknown,Retail,Singapore,Unknown,Mid-level,9.2,Bachelor's,0,1,1,1,0,121207.0,4,2026,Low,1,3,8,1,0,3.0666666666666664,73.6,False,40402.333333333336,73.6,4.715404699738904,6709,4.4948224852071,0,0,Q2,1.0245524856074637,0,0,0,0.6138653366583541,0.13068327190360549,117037.78714859438,116940.13387573964,0.25,84.63999999999999,0.5990629183400268,24519.72208445221,4.353086419753087,6540,1626,1494,17431.900984009844,0,9.2,2
AI Engineer,Large,E-commerce,Germany,Onsite,Junior,13.0,Master's,0,1,1,1,1,129839.0,3,2020,Low,0,4,11,1,0,3.25,143.0,False,32459.75,143.0,4.6755555555555555,7032,4.497611464968153,0,0,Q1,1.1102262676401136,1,1,0,0.7013466334164589,0.3753084201164194,115678.97271857051,115893.9773089172,0.0,169.0,0.7147415443522654,67108864.0,4.622950819672131,6289,1679,1567,-9374.732430017873,0,13.0,3
Business Analyst,Large,Education,United Kingdom,Onsite,Mid-level,8.0,Bachelor's,1,0,0,1,0,108655.0,7,2020,Low,9,2,6,0,0,4.0,48.0,False,54327.5,48.0,4.8,6840,4.488077496274218,0,0,Q3,0.929086292334634,0,0,0,0.410573566084788,-0.22503207336600062,116356.81743958197,115792.73994038749,3.0,64.0,0.3958197256694971,256.0,4.3356258596973865,6289,1714,1531,1925.4066511085111,0,0.0,1
Data Scientist,Large,Education,Australia,Hybrid,Mid-level,5.0,Master's,0,0,0,0,0,113873.0,3,2020,Low,3,0,0,0,0,inf,0.0,False,inf,0.0,4.326771653543307,6840,4.557251908396947,0,1,Q1,0.9780182923789802,1,0,0,0.5000498753117207,-0.07715741820213792,116356.81743958197,117294.55629770992,3.0,25.0,0.4879163945133899,0.0,4.622950819672131,6289,1661,1531,8775.660596026486,0,0.0,0
Business Analyst,Large,Retail,United State America,Hybrid,Junior,4.0,Bachelor's,1,1,1,0,1,90732.0,3,2023,Low,7,4,9,0,1,1.0,36.0,False,22683.0,36.0,4.685344827586207,6709,4.539167254763585,0,1,Q1,0.7792677430482171,1,1,1,0.24319201995012468,-0.7329579922050025,117037.78714859438,116964.06474947071,1.4,16.0,0.2322623828647925,256.0,4.622950819672131,6137,1714,1494,-15997.593348891489,0,0.0,2
