JobTitle,Company Size,company_Industry,Country,Remote Type,Exp. Level,Years_Experience,Education  Level,Skills - Python,Skills - SQL,Skills - ML,Skills-DeepLearning,skills_Cloud,Posting Month,posting_Year,Hiring Urgency,Total_Skills,advanced_skill_score,ai_specialist,exp_per_skill,experience_intensity,ml_cloud_combination,job_title_popularity,industry_frequency,premium_candidate,Salary (USD)
2,2,2,7,0,1,4.0,0,1,1,0,0,0,10,2024,1,2,3,0,2.0,12.0,0,1626,1595,0,61640.0
4,0,0,5,0,3,8.0,0,1,0,1,1,1,1,2023,1,4,12,1,2.0,96.0,1,1661,1567,0,138483.0
2,2,5,4,0,2,8.0,1,1,1,1,1,1,11,2022,1,5,13,1,1.6,104.0,1,1626,1494,0,119038.0
4,0,1,1,3,1,7.0,0,1,1,0,1,0,6,2022,1,3,7,0,2.333333333333333,49.0,0,1661,1531,0,66667.0
5,1,4,2,0,2,10.0,2,0,1,1,0,1,6,2025,1,3,7,0,3.333333333333333,70.0,1,1682,1611,0,153801.0
2,3,5,4,3,2,9.2,0,0,1,1,1,0,4,2026,1,3,8,1,3.0666666666666664,73.6,0,1626,1494,0,121207.0
0,0,0,2,1,1,13.0,1,0,1,1,1,1,3,2020,1,4,11,1,3.25,143.0,1,1679,1567,0,129839.0
1,0,1,5,1,2,8.0,0,1,0,0,1,0,7,2020,1,2,6,0,4.0,48.0,0,1714,1531,0,108655.0
1,0,5,6,0,1,4.0,0,1,1,1,0,1,3,2023,1,4,9,0,1.0,36.0,1,1714,1494,0,90732.0
0,3,3,1,0,0,0.0,2,0,1,1,0,1,4,2020,1,3,7,0,0.0,0.0,1,1679,1551,0,116440.0
3,3,5,2,2,1,10.0,2,0,0,1,0,0,5,2020,1,1,3,0,10.0,30.0,0,1623,1494,0,88138.0
2,0,1,1,1,3,3.0,2,0,1,1,1,0,1,2023,1,3,8,1,1.0,24.0,0,1626,1531,0,111764.0
0,0,3,0,3,3,13.0,0,0,0,0,0,1,9,2026,1,1,3,0,13.0,39.0,0,1679,1551,0,148152.0
4,2,0,6,2,3,7.0,2,0,0,1,1,1,10,2022,1,3,10,1,2.333333333333333,70.0,1,1661,1567,0,142844.0
0,2,2,2,0,2,4.0,0,1,0,0,0,1,8,2025,1,2,5,0,2.0,20.0,0,1679,1595,0,129245.0
2,0,0,3,0,3,6.0,0,0,1,0,1,0,3,2022,1,2,5,0,3.0,30.0,0,1626,1567,0,128754.0
1,2,2,3,0,3,11.0,1,0,0,0,1,1,1,2024,1,2,7,0,5.5,77.0,0,1714,1595,0,124500.0
1,1,0,2,2,4,0.0,1,1,0,1,1,1,5,2021,0,4,12,1,0.0,0.0,1,1714,1567,0,141647.0
