JobTitle,Company Size,company_Industry,Country,Remote Type,Exp. Level,Years_Experience,Education  Level,Skills - Python,Skills - SQL,Skills - ML,Skills-DeepLearning,skills_Cloud,Posting Month,posting_Year,Hiring Urgency,Total_Skills,advanced_skill_score,ai_specialist,exp_per_skill,experience_intensity,ml_cloud_combination,job_title_popularity,industry_frequency,premium_candidate,Salary (USD)
Data Analyst,Start-up,Finance,Unknown,Hybrid,Junior,4.0,Bachelor's,1,1,0,0,0,10,2024,Low,2,3,0,2.0,12.0,0,1626,1595,0,61004.0
Data Scientist,Large,E-commerce,United Kingdom,Hybrid,Senior,8.0,Bachelor's,1,0,1,1,1,1,2023,Low,4,12,1,2.0,96.0,1,1661,1567,0,138483.0
Data Analyst,Start-up,Retail,Singapore,Hybrid,Mid-level,8.0,Master's,1,1,1,1,1,11,2022,Low,5,13,1,1.6,104.0,1,1626,1494,0,119038.0
Data Scientist,Large,Education,Canada,Unknown,Junior,7.0,Bachelor's,1,1,0,1,0,6,2022,Low,3,7,0,2.333333333333333,49.0,0,1661,1531,0,66667.0
Machine Learning Engineer,Medium,IT,Germany,Hybrid,Mid-level,10.0,Ph.D,0,1,1,0,1,6,2025,Low,3,7,0,3.333333333333333,70.0,1,1682,1611,0,153801.0
Data Analyst,Unknown,Retail,Singapore,Unknown,Mid-level,9.2,Bachelor's,0,1,1,1,0,4,2026,Low,3,8,1,3.0666666666666664,73.6,0,1626,1494,0,121207.0
AI Engineer,Large,E-commerce,Germany,Onsite,Junior,13.0,Master's,0,1,1,1,1,3,2020,Low,4,11,1,3.25,143.0,1,1679,1567,0,129839.0
Business Analyst,Large,Education,United Kingdom,Onsite,Mid-level,8.0,Bachelor's,1,0,0,1,0,7,2020,Low,2,6,0,4.0,48.0,0,1714,1531,0,108655.0
Data Scientist,Large,Education,Australia,Hybrid,Mid-level,5.0,Master's,0,0,0,0,0,3,2020,Low,0,0,0,inf,0.0,0,1661,1531,0,113873.0
Business Analyst,Large,Retail,United State America,Hybrid,Junior,4.0,Bachelor's,1,1,1,0,1,3,2023,Low,4,9,0,1.0,36.0,1,1714,1494,0,90732.0
AI Engineer,Unknown,Healthcare,Canada,Hybrid,Fresher,0.0,Ph.D,0,1,1,0,1,4,2020,Low,3,7,0,0.0,0.0,1,1679,1551,0,116440.0
Data Engineer,Unknown,Retail,Germany,Remote,Junior,10.0,Ph.D,0,0,1,0,0,5,2020,Low,1,3,0,10.0,30.0,0,1623,1494,0,88138.0
Data Analyst,Large,Education,Canada,Onsite,Senior,3.0,Ph.D,0,1,1,1,0,1,2023,Low,3,8,1,1.0,24.0,0,1626,1531,0,111764.0
AI Engineer,Large,Healthcare,Australia,Unknown,Senior,13.0,Bachelor's,0,0,0,0,1,9,2026,Low,1,3,0,13.0,39.0,0,1679,1551,0,148152.0
Data Scientist,Start-up,E-commerce,United State America,Remote,Senior,7.0,Ph.D,0,0,1,1,1,10,2022,Low,3,10,1,2.333333333333333,70.0,1,1661,1567,0,142844.0
AI Engineer,Start-up,Finance,Germany,Hybrid,Mid-level,4.0,Bachelor's,1,0,0,0,1,8,2025,Low,2,5,0,2.0,20.0,0,1679,1595,0,129245.0
Data Analyst,Large,E-commerce,India,Hybrid,Senior,6.0,Bachelor's,0,1,0,1,0,3,2022,Low,2,5,0,3.0,30.0,0,1626,1567,0,128754.0
Business Analyst,Start-up,Finance,India,Hybrid,Senior,11.0,Master's,0,0,0,1,1,1,2024,Low,2,7,0,5.5,77.0,0,1714,1595,0,124500.0
Business Analyst,Medium,E-commerce,Germany,Remote,Unknown,0.0,Master's,1,0,1,1,1,5,2021,High,4,12,1,0.0,0.0,1,1714,1567,0,141647.0
Data Scientist,Medium,IT,United State America,Onsite,Mid-level,2.0,Bachelor's,0,1,1,0,1,2,2025,High,3,7,0,0.6666666666666666,14.0,1,1661,1611,0,97655.0
Machine Learning Engineer,Large,Education,India,Onsite,Senior,10.0,Master's,1,0,1,0,0,8,2025,High,2,5,0,5.0,50.0,0,1682,1531,0,141282.0
Data Scientist,Start-up,Education,Germany,Remote,Junior,7.0,Ph.D,0,1,0,1,0,2,2024,High,2,5,0,3.5,35.0,0,1661,1531,1,212076.75
AI Engineer,Large,Finance,Unknown,Remote,Senior,13.0,Master's,0,1,0,1,0,4,2023,High,2,5,0,6.5,65.0,0,1679,1595,0,159460.0
Business Analyst,Large,Unknown,Australia,Unknown,Junior,6.0,Master's,0,0,0,0,1,3,2022,High,1,3,0,6.0,18.0,0,1714,676,0,61004.0
AI Engineer,Medium,Retail,Australia,Remote,Junior,12.0,Bachelor's,0,0,0,0,1,3,2024,High,1,3,0,12.0,36.0,0,1679,1494,0,95822.0
AI Engineer,Medium,E-commerce,United State America,Remote,Senior,0.0,Ph.D,0,1,1,1,1,11,2024,High,4,11,1,0.0,0.0,1,1679,1567,1,176770.0
Business Analyst,Large,Education,United State America,Hybrid,Mid-level,4.0,Ph.D,0,1,1,0,1,11,2024,High,3,7,0,1.3333333333333333,28.0,1,1714,1531,0,118721.0
Machine Learning Engineer,Medium,Education,India,Hybrid,Mid-level,1.0,Master's,0,1,0,1,1,6,2024,High,3,8,0,0.3333333333333333,8.0,0,1682,1531,0,138200.0
Data Analyst,Medium,Unknown,Australia,Hybrid,Mid-level,1.0,Bachelor's,1,0,1,1,0,9,2025,High,3,9,1,0.3333333333333333,9.0,0,1626,676,0,109404.0
AI Engineer,Large,Education,Australia,Remote,Mid-level,2.0,Ph.D,0,0,1,0,0,9,2025,High,1,3,0,2.0,6.0,0,1679,1531,0,138624.0
Machine Learning Engineer,Large,Retail,Australia,Hybrid,Mid-level,7.0,Ph.D,0,0,1,1,1,1,2026,High,3,10,1,2.333333333333333,70.0,1,1682,1494,0,154152.0
Data Engineer,Large,Finance,Unknown,Hybrid,Junior,0.0,Master's,1,0,0,1,1,7,2024,Low,3,9,0,0.0,0.0,0,1623,1595,0,113873.0
Data Analyst,Large,IT,India,Onsite,Senior,2.0,Bachelor's,1,0,1,0,0,6,2023,Low,2,5,0,1.0,10.0,0,1626,1611,0,116040.0
Business Analyst,Large,IT,Australia,Hybrid,Senior,1.0,Master's,0,1,0,0,1,1,2026,Low,2,4,0,0.5,4.0,0,1714,1611,0,109141.0
Data Scientist,Large,IT,Australia,Unknown,Mid-level,13.0,Bachelor's,1,1,1,1,0,1,2024,Low,4,10,1,3.25,130.0,0,1661,1611,0,123754.0
AI Engineer,Medium,E-commerce,Germany,Onsite,Senior,7.0,Bachelor's,0,0,0,1,0,10,2026,Low,1,4,0,7.0,28.0,0,1679,1567,0,159436.0
Data Engineer,Start-up,Retail,India,Onsite,Senior,7.0,Master's,0,1,0,0,1,11,2022,Low,2,4,0,3.5,28.0,0,1623,1494,0,113873.0
Data Analyst,Large,Retail,Canada,Onsite,Senior,14.6,Master's,1,1,1,1,1,1,2026,Low,5,13,1,2.92,189.8,1,1626,1494,0,144990.0
Data Scientist,Medium,Education,Unknown,Hybrid,Senior,6.0,Bachelor's,0,0,0,0,1,6,2020,Low,1,3,0,6.0,18.0,0,1661,1531,0,106500.0
Data Analyst,Large,Retail,Germany,Hybrid,Senior,2.0,Ph.D,1,0,1,0,1,6,2024,Low,3,8,0,0.6666666666666666,16.0,1,1626,1494,0,124847.0
Data Scientist,Large,Education,Singapore,Onsite,Senior,3.8,Unknown,0,0,0,1,1,7,2021,Low,2,7,0,1.9,26.6,0,1661,1531,0,126375.0
Data Engineer,Large,IT,United Kingdom,Onsite,Junior,5.0,Master's,1,1,1,1,1,12,2024,Low,5,13,1,1.0,65.0,1,1623,1611,0,93679.0
Data Engineer,Medium,IT,Germany,Remote,Senior,7.0,Master's,0,0,0,1,1,1,2022,Low,2,7,0,3.5,49.0,0,1623,1611,0,128648.0
