JobTitle,Company Size,company_Industry,Country,Remote Type,Exp. Level,Years_Experience,Education  Level,Skills - Python,Skills - SQL,Skills - ML,Skills-DeepLearning,skills_Cloud,Salary (USD),Posting Month,posting_Year,Hiring Urgency,Job Openings
Data Analyst,Start-up,Finance,Unknown,Hybrid,Junior,4.0,Bachelor's,1,1,0,0,0,61640.0,10,2024,Low,0
Data Scientist,Large,E-commerce,United Kingdom,Hybrid,Senior,8.0,Bachelor's,1,0,1,1,1,138483.0,1,2023,Low,0
Data Analyst,Start-up,Retail,Singapore,Hybrid,Mid-level,8.0,Master's,1,1,1,1,1,119038.0,11,2022,Low,0
Data Scientist,Large,Education,Canada,Unknown,Junior,7.0,Bachelor's,1,1,0,1,0,66667.0,6,2022,Low,0
Machine Learning Engineer,Medium,IT,Germany,Hybrid,Mid-level,10.0,Ph.D,0,1,1,0,1,153801.0,6,2025,Low,0
Data Analyst,Unknown,Retail,Singapore,Unknown,Mid-level,9.2,Bachelor's,0,1,1,1,0,121207.0,4,2026,Low,0
AI Engineer,Large,E-commerce,Germany,Onsite,Junior,13.0,Master's,0,1,1,1,1,129839.0,3,2020,Low,0
Business Analyst,Large,Education,United Kingdom,Onsite,Mid-level,8.0,Bachelor's,1,0,0,1,0,108655.0,7,2020,Low,0
Data Scientist,Large,Education,Australia,Hybrid,Mid-level,5.0,Master's,0,0,0,0,0,113873.0,3,2020,Low,0
Business Analyst,Large,Retail,United State America,Hybrid,Junior,4.0,Bachelor's,1,1,1,0,1,90732.0,3,2023,Low,0
AI Engineer,Unknown,Healthcare,Canada,Hybrid,Fresher,0.0,Ph.D,0,1,1,0,1,116440.0,4,2020,Low,0
Data Engineer,Unknown,Retail,Germany,Remote,Junior,10.0,Ph.D,0,0,1,0,0,88138.0,5,2020,Low,0
Data Analyst,Large,Education,Canada,Onsite,Senior,3.0,Ph.D,0,1,1,1,0,111764.0,1,2023,Low,0
AI Engineer,Large,Healthcare,Australia,Unknown,Senior,13.0,Bachelor's,0,0,0,0,1,148152.0,9,2026,Low,0
Data Scientist,Start-up,E-commerce,United State America,Remote,Senior,7.0,Ph.D,0,0,1,1,1,142844.0,10,2022,Low,0
AI Engineer,Start-up,Finance,Germany,Hybrid,Mid-level,4.0,Bachelor's,1,0,0,0,1,129245.0,8,2025,Low,0
Data Analyst,Large,E-commerce,India,Hybrid,Senior,6.0,Bachelor's,0,1,0,1,0,128754.0,3,2022,Low,0
Business Analyst,Start-up,Finance,India,Hybrid,Senior,11.0,Master's,0,0,0,1,1,124500.0,1,2024,Low,0
Business Analyst,Medium,E-commerce,Germany,Remote,Unknown,0.0,Master's,1,0,1,1,1,141647.0,5,2021,High,0
Data Scientist,Medium,IT,United State America,Onsite,Mid-level,2.0,Bachelor's,0,1,1,0,1,97655.0,2,2025,High,0
Machine Learning Engineer,Large,Education,India,Onsite,Senior,10.0,Master's,1,0,1,0,0,141282.0,8,2025,High,0
Data Scientist,Start-up,Education,Germany,Remote,Junior,7.0,Ph.D,0,1,0,1,0,202887.5,2,2024,High,0
AI Engineer,Large,Finance,Unknown,Remote,Senior,13.0,Master's,0,1,0,1,0,159460.0,4,2023,High,0
Business Analyst,Large,Unknown,Australia,Unknown,Junior,6.0,Master's,0,0,0,0,1,61640.0,3,2022,High,0
AI Engineer,Medium,Retail,Australia,Remote,Junior,12.0,Bachelor's,0,0,0,0,1,95822.0,3,2024,High,0
AI Engineer,Medium,E-commerce,United State America,Remote,Senior,0.0,Ph.D,0,1,1,1,1,176770.0,11,2024,High,0
Business Analyst,Large,Education,United State America,Hybrid,Mid-level,4.0,Ph.D,0,1,1,0,1,118721.0,11,2024,High,0
Machine Learning Engineer,Medium,Education,India,Hybrid,Mid-level,1.0,Master's,0,1,0,1,1,138200.0,6,2024,High,0
Data Analyst,Medium,Unknown,Australia,Hybrid,Mid-level,1.0,Bachelor's,1,0,1,1,0,109404.0,9,2025,High,0
AI Engineer,Large,Education,Australia,Remote,Mid-level,2.0,Ph.D,0,0,1,0,0,138624.0,9,2025,High,0
Machine Learning Engineer,Large,Retail,Australia,Hybrid,Mid-level,7.0,Ph.D,0,0,1,1,1,154152.0,1,2026,High,0
Data Engineer,Large,Finance,Unknown,Hybrid,Junior,0.0,Master's,1,0,0,1,1,113873.0,7,2024,Low,0
Data Analyst,Large,IT,India,Onsite,Senior,2.0,Bachelor's,1,0,1,0,0,116040.0,6,2023,Low,0
Business Analyst,Large,IT,Australia,Hybrid,Senior,1.0,Master's,0,1,0,0,1,109141.0,1,2026,Low,0
Data Scientist,Large,IT,Australia,Unknown,Mid-level,13.0,Bachelor's,1,1,1,1,0,123754.0,1,2024,Low,0
AI Engineer,Medium,E-commerce,Germany,Onsite,Senior,7.0,Bachelor's,0,0,0,1,0,159436.0,10,2026,Low,0
Data Engineer,Start-up,Retail,India,Onsite,Senior,7.0,Master's,0,1,0,0,1,113873.0,11,2022,Low,0
Data Analyst,Large,Retail,Canada,Onsite,Senior,14.6,Master's,1,1,1,1,1,144990.0,1,2026,Low,0
Data Scientist,Medium,Education,Unknown,Hybrid,Senior,6.0,Bachelor's,0,0,0,0,1,106500.0,6,2020,Low,0
Data Analyst,Large,Retail,Germany,Hybrid,Senior,2.0,Ph.D,1,0,1,0,1,124847.0,6,2024,Low,0
Data Scientist,Large,Education,Singapore,Onsite,Senior,3.8,Unknown,0,0,0,1,1,126375.0,7,2021,Low,0
Data Engineer,Large,IT,United Kingdom,Onsite,Junior,5.0,Master's,1,1,1,1,1,93679.0,12,2024,Low,0
Data Engineer,Medium,IT,Germany,Remote,Senior,7.0,Master's,0,0,0,1,1,128648.0,1,2022,Low,0
Data Engineer,Medium,Finance,Germany,Hybrid,Mid-level,14.0,Master's,1,0,1,1,1,113873.0,10,2024,Low,0
Data Analyst,Large,Retail,United State America,Hybrid,Mid-level,7.0,Master's,0,0,0,0,1,61640.0,10,2022,Low,0
Data Scientist,Start-up,E-commerce,Australia,Remote,Mid-level,6.0,Master's,1,1,1,0,1,104352.0,7,2022,Low,0
Data Analyst,Large,Retail,India,Onsite,Mid-level,2.0,Master's,0,1,1,1,1,130874.0,11,2026,Low,0
Data Engineer,Large,Healthcare,Germany,Onsite,Junior,12.0,Ph.D,1,0,0,1,1,95432.0,11,2026,Low,0
Business Analyst,Medium,Finance,Singapore,Unknown,Junior,8.0,Master's,0,0,0,1,0,66241.0,10,2020,Low,0
Data Scientist,Large,Unknown,United Kingdom,Onsite,Senior,12.0,Bachelor's,0,0,1,1,1,163092.0,2,2021,Low,0
Business Analyst,Large,E-commerce,Germany,Onsite,Senior,7.0,Bachelor's,0,1,1,0,0,129372.0,3,2024,Low,0
Data Analyst,Large,Education,Australia,Hybrid,Mid-level,5.0,Ph.D,1,1,1,0,0,108403.0,6,2024,Low,0
Machine Learning Engineer,Start-up,Healthcare,United Kingdom,Onsite,Junior,3.0,Bachelor's,0,0,1,1,0,122732.0,6,2026,Low,0
Machine Learning Engineer,Medium,IT,Germany,Onsite,Mid-level,6.0,Bachelor's,1,1,0,0,1,124300.0,7,2024,Low,0
AI Engineer,Large,IT,United Kingdom,Onsite,Senior,11.0,Ph.D,1,1,1,1,0,171518.0,12,2021,Low,0
Machine Learning Engineer,Start-up,Healthcare,Unknown,Hybrid,Senior,8.0,Ph.D,0,1,1,0,1,162147.0,4,2022,Low,0
Data Analyst,Medium,E-commerce,Germany,Remote,Mid-level,6.5,Bachelor's,1,1,1,1,1,202887.5,8,2020,Low,0
Data Engineer,Medium,IT,India,Hybrid,Senior,10.0,Bachelor's,0,1,0,0,1,112458.0,11,2025,Low,0
Business Analyst,Start-up,Finance,Unknown,Remote,Junior,7.0,Ph.D,0,0,1,0,0,76600.0,1,2026,High,0
AI Engineer,Large,IT,Germany,Unknown,Mid-level,0.0,Unknown,0,0,0,1,1,164036.0,12,2022,High,0
Data Scientist,Large,IT,Singapore,Remote,Junior,11.0,Master's,1,1,1,0,0,72011.0,5,2026,High,0
Data Engineer,Start-up,E-commerce,United State America,Onsite,Junior,7.0,Master's,0,1,1,0,1,75598.0,1,2024,High,0
Machine Learning Engineer,Start-up,Retail,Canada,Remote,Senior,7.0,Ph.D,0,1,1,1,1,159309.0,1,2020,High,0
Data Engineer,Large,E-commerce,Australia,Hybrid,Junior,6.0,Bachelor's,1,1,1,0,1,92244.0,6,2026,Low,0
Data Scientist,Medium,Retail,United Kingdom,Hybrid,Junior,1.0,Bachelor's,1,1,1,1,0,202887.5,10,2026,Low,0
AI Engineer,Large,Finance,United State America,Hybrid,Senior,4.0,Bachelor's,0,1,1,0,1,181500.0,10,2021,Low,0
