Job ID,JobTitle,Company Size,company_Industry,Country,Remote Type,Exp. Level,Years_Experience,Education  Level,Skills - Python,Skills - SQL,Skills - ML,Skills-DeepLearning,skills_Cloud,Salary (USD),Posting Month,posting_Year,Hiring Urgency,Job Openings,data_source,notes,_temp
6475,data_analyst,Start Up,Finance,-,Hybrid,Entry,4,Bachelor,1,FALSE,0,0,0,"$48,629",10,2024,not urgent,1,manual_entry,,0.708229
5223,Data Scientist,Enterprise,E-commerce,United Kingdom,hybrid,sr,8,Batchelor,1,0,1,1,1,138483,1,2023,URGENT,9,api_pull,DUPLICATE,0.692315
9400,Data Analyst,Startup,Retail,SiÃÂ©ngapore,HYBRID,mid-level,8,Master,1,Not Available,Not Available,1,1,119038,Nov,2022,URGENT,5,manual_entry,???,0.764532
9919,Data Scientist,enterprise,education,Canda,None,ENTRY,unknown,Bachelor,1,1,0,1,0,66667,6,2022,Urgent,9,web_scrape,,0.215707
8406,Machine Learning Engineer,MEDIUM,Technology,Germny,Hybrid,Mid,10,doctorate,0,1,1,NaN,1,"$153,801",6,2025,HIGH,7,UNKNOWN,#REF!,0.347933
JOB-8955,Data Analst,,Retail,Singapore,na,Mid,9.2,BACHELOR,0,1,1,1,0,121207,4,2026,-,1,duplicate?,#REF!,0.038548
172,AI  Engineer,Enterprise,ecommerce,Germany,Onsite,junior,13,master,Yes,1,1,1,1,129839,3,2020,High Priority,0,api_pull,#REF!,0.343334
2420,Bizz Analyst,MNC,EDUCATION,UK,Onsite,Mid,8,Bachelor,1,0,0,1,0,"$108,655",7,2020,High,9,api_pull,needs review,0.864641
7368,Data Scientist,Enterprise,Education,Australia,Hybrid,Mid,5,Master,0,0,0,0,0,n/a,3,2020,Low Priority,3,web_scrape,DUPLICATE,0.405117
9621,Business Analyst,MNC,Retl,USA,Hybrid,Entry,4,bachelor,1,?,1,2,1,90732,NA,2023,High,7,duplicate?,TODO,0.635883
8019,AI Engineer,NONE,Healthcare,Canada,Hybrid.,fresher,0,PhD,0,1,1,0,Yes,116440,4,2020,Low,1,web_scrape,needs review,0.228796
5651,Data Engineer,NaN,Retail,Germany,Remote,ENTRY,10,PhD,2,0,1,0,0,88138,5,2020,na,8,UNKNOWN,???,0.924703
970,data analyst,Enterprise,Educaiton,Canada,On-site,Senior Level,3,PhD,0,1,,1,0,111764,Jan,2023,Low,UNKNOWN,,#REF!,0.239023
1794,AI Engineer,Enteprise,healthcare,Australia,na,Senior,13,Bachelor,0,0,0,No,1,148152,9,2026,Medium,3,duplicate?,???,0.642242
-,Data Scientist,Startup,E-commerce,USA,WFH,Sr.,999,doctorate,0,0,1,1,TRUE,142844,10,2022,High,8,manual_entry,needs review,0.578915
6716,AI Engineer,Startup,finance,Germany,hybrid,Mid,4,Bachelor,-1,0,0,0,1,129245,8,2025,Low,3,UNKNOWN,DUPLICATE,0.691923
9035,Data Analyst,Enterprise,E-commerce,Bharat,Hybrid,Senior,6,B.S.,0,1,2,1,0,128754,3,2022,High,-8,api_pull,,0.218472
646,Business Analyst,Startup,Finance,India,Hybrid.,Senior,11,Master,0,0,0,1,1,124.5k,0,2024,Medium,3,duplicate?,,0.615564
7833,Bussiness Analyst,Medium,E-commerce,Germany,remote,N/A,0,Master,1,0,1,1,1,"$141,647",5,2021,urgent,7,api_pull,???,0.455342
1817,Data  Scientist,Med,Technology,USA,onsite,Mid,2,BACHELOR,No,1,1,2,1,97655,2,2025,Low,4,api_pull,needs review,0.154975
4622,Machine Learning Engineer,Enterprise,education,india,Onsite,Senior,10,Master,1,0,FALSE,0,0,141282,8,2025,Medium,6,duplicate?,,0.736343
9559,Data Scientist,Startup,Edâucation,Germany,Remote,Entry,NULL,PhD,0,1,0,1,0,65177000,2,2024,Urgent,9,web_scrape,DUPLICATE,0.195528
1436,ai engineer,Enterprise,Finance,UNKNOWN,Remote,SENIOR,13,Master,TRUE,None,0,1,0,159460,4,2023,High,9,duplicate?,DUPLICATE,0.515125
7885,Biz Analyst,enterprise,?,Australia,NONE,Entry,-6,master,0,0,0,0,--,52798,3,2022,Low,6,UNKNOWN,needs review,0.127
ID_6317,AI Engineer,Medium,retail,Australia,remote,Entry,12,Bachelor,0,0,0,0,1,95822,None,n/a,urgent,7,,DUPLICATE,0.336227
5642,AI Engineer,Medium,E-commerce,U.S.A,Remote,Senior,0,PhD,0,1,1,1,1,176770,11,#N/A,High,3,duplicate?,needs review,0.241743
Not Available,business_analyst,MNC,Education,USA,Hybrid,Mid,4,PhD,0,-1,1,0,1,118721,None,2024,Low,5,manual_entry,TODO,0.154266
7451,N/A,MNC,tech,IndiÃ¢â¬â¢a,remote,Senior,1.6,PhD,0,0,0,1,1,147687,?,2022,High,9,api_pull,#REF!,0.383407
9924,Machine Learning Engineer,Medium,Edu,Inda,Hybrd,Mid,1,Master,na,Yes,0,1,Yes,138.2k,6,2024,Low,1,duplicate?,needs review,0.746974
,Data Analyst,med,?,Australia,HYBRID,mid level,1,Bachelor,1,0,TRUE,1,0,109404,9,,High,0,api_pull,TODO,0.655895
2285,AI Engineer,Multinational,edu,Australia,Remote,Mid,2,ph.d.,0,0,No,0,0,138624,9,2025,Low,4,UNKNOWN,,0.372639
#N/A,Machine learning engineer,ENTERPRISE,retail,AUS,Hybird,mid level,7,PhD,,0,1,1,1,154152,1,2026,High,8,UNKNOWN,DUPLICATE,0.024689
