JobTitle,Company Size,company_Industry,Country,Remote Type,Exp. Level,Years_Experience,Education  Level,Skills - Python,Skills - SQL,Skills - ML,Skills-DeepLearning,skills_Cloud,Salary (USD),Posting Month,posting_Year,Hiring Urgency,Job Openings
Data Analyst,Start-up,Finance,Unknown,Hybrid,Junior,4.0,Bachelor's,1,FALSE,0,0,0,"$48,629",10,2024,not urgent,1
Data Scientist,Large,E-commerce,United Kingdom,Hybrid,Senior,8.0,Bachelor's,1,0,1,1,1,138483,1,2023,URGENT,9
Data Analyst,Start-up,Retail,Singapore,Hybrid,Mid-level,8.0,Master's,1,,,1,1,119038,Nov,2022,URGENT,5
Data Scientist,Large,Education,Canada,Unknown,Junior,7.0,Bachelor's,1,1,0,1,0,66667,6,2022,Urgent,9
Machine Learning Engineer,Medium,IT,Germany,Hybrid,Mid-level,10.0,Ph.D,0,1,1,,1,"$153,801",6,2025,HIGH,7
Data Analyst,Unknown,Retail,Singapore,Unknown,Mid-level,9.2,Bachelor's,0,1,1,1,0,121207,4,2026,,1
AI Engineer,Large,E-commerce,Germany,Onsite,Junior,13.0,Master's,Yes,1,1,1,1,129839,3,2020,High Priority,0
Business Analyst,Large,Education,United Kingdom,Onsite,Mid-level,8.0,Bachelor's,1,0,0,1,0,"$108,655",7,2020,High,9
Data Scientist,Large,Education,Australia,Hybrid,Mid-level,5.0,Master's,0,0,0,0,0,,3,2020,Low Priority,3
Business Analyst,Large,Retail,United State America,Hybrid,Junior,4.0,Bachelor's,1,,1,2,1,90732,,2023,High,7
AI Engineer,Unknown,Healthcare,Canada,Hybrid,Fresher,0.0,Ph.D,0,1,1,0,Yes,116440,4,2020,Low,1
Data Engineer,Unknown,Retail,Germany,Remote,Junior,10.0,Ph.D,2,0,1,0,0,88138,5,2020,na,8
Data Analyst,Large,Education,Canada,Onsite,Senior,3.0,Ph.D,0,1,,1,0,111764,Jan,2023,Low,UNKNOWN
AI Engineer,Large,Healthcare,Australia,Unknown,Senior,13.0,Bachelor's,0,0,0,No,1,148152,9,2026,Medium,3
Data Scientist,Start-up,E-commerce,United State America,Remote,Senior,7.0,Ph.D,0,0,1,1,TRUE,142844,10,2022,High,8
AI Engineer,Start-up,Finance,Germany,Hybrid,Mid-level,4.0,Bachelor's,-1,0,0,0,1,129245,8,2025,Low,3
Data Analyst,Large,E-commerce,India,Hybrid,Senior,6.0,Bachelor's,0,1,2,1,0,128754,3,2022,High,-8
Business Analyst,Start-up,Finance,India,Hybrid,Senior,11.0,Master's,0,0,0,1,1,124.5k,0,2024,Medium,3
Business Analyst,Medium,E-commerce,Germany,Remote,Unknown,0.0,Master's,1,0,1,1,1,"$141,647",5,2021,urgent,7
Data Scientist,Medium,IT,United State America,Onsite,Mid-level,2.0,Bachelor's,No,1,1,2,1,97655,2,2025,Low,4
Machine Learning Engineer,Large,Education,India,Onsite,Senior,10.0,Master's,1,0,FALSE,0,0,141282,8,2025,Medium,6
Data Scientist,Start-up,Education,Germany,Remote,Junior,7.0,Ph.D,0,1,0,1,0,65177000,2,2024,Urgent,9
AI Engineer,Large,Finance,Unknown,Remote,Senior,13.0,Master's,TRUE,,0,1,0,159460,4,2023,High,9
Business Analyst,Large,Unknown,Australia,Unknown,Junior,6.0,Master's,0,0,0,0,,52798,3,2022,Low,6
AI Engineer,Medium,Retail,Australia,Remote,Junior,12.0,Bachelor's,0,0,0,0,1,95822,,,urgent,7
AI Engineer,Medium,E-commerce,United State America,Remote,Senior,0.0,Ph.D,0,1,1,1,1,176770,11,,High,3
Business Analyst,Large,Education,United State America,Hybrid,Mid-level,4.0,Ph.D,0,-1,1,0,1,118721,,2024,Low,5
Machine Learning Engineer,Medium,Education,India,Hybrid,Mid-level,1.0,Master's,na,Yes,0,1,Yes,138.2k,6,2024,Low,1
Data Analyst,Medium,Unknown,Australia,Hybrid,Mid-level,1.0,Bachelor's,1,0,TRUE,1,0,109404,9,,High,0
AI Engineer,Large,Education,Australia,Remote,Mid-level,2.0,Ph.D,0,0,No,0,0,138624,9,2025,Low,4
Machine Learning Engineer,Large,Retail,Australia,Hybrid,Mid-level,7.0,Ph.D,,0,1,1,1,154152,1,2026,High,8
Data Engineer,Large,Finance,Unknown,Hybrid,Junior,0.0,Master's,1,na,0,1,No,,7,2024,low priority,2
Data Analyst,Large,IT,India,Onsite,Senior,2.0,Bachelor's,1,0,No,0,0,116040,6,2023,low,1
Business Analyst,Large,IT,Australia,Hybrid,Senior,1.0,Master's,0,1,0,0,1,109141,1,2026,High,
Data Scientist,Large,IT,Australia,Unknown,Mid-level,13.0,Bachelor's,-1,1,1,1,0,123754,1,2024,High,3
AI Engineer,Medium,E-commerce,Germany,Onsite,Senior,7.0,Bachelor's,0,0,0,1,0,159436,Oct,2026,URGENT,9
Data Engineer,Start-up,Retail,India,Onsite,Senior,7.0,Master's,0,1,0,0,No,,11,2022,Medium,5
Data Analyst,Large,Retail,Canada,Onsite,Senior,14.6,Master's,1,1,1,1,-1,"$144,990",0,2026,High,1
Data Scientist,Medium,Education,Unknown,Hybrid,Senior,6.0,Bachelor's,0,0,0,0,1,106500,6,2020,Low,5
Data Analyst,Large,Retail,Germany,Hybrid,Senior,2.0,Ph.D,1,0,1,0,1,124847,,2024,Low,2
Data Scientist,Large,Education,Singapore,Onsite,Senior,3.8,Unknown,FALSE,0,0,1,1,126375,7,2021,High,9
Data Engineer,Large,IT,United Kingdom,Onsite,Junior,5.0,Master's,1,1,1,1,1,93679,12,2024,High,-7
Data Engineer,Medium,IT,Germany,Remote,Senior,7.0,Master's,0,0,0,1,1,128648,1,2022,High,8
